"urn:cite:fufolioimg:BotCarWalter.walter-r_backpage_01028","Walter Herbarium, backpage, recto. Sloane Herbarium.","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarWalter.walter-r_blank_01024","Walter Herbarium, blank, recto. Sloane Herbarium.","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarWalter.walter-r_blank_01025","Walter Herbarium, blank, recto. Sloane Herbarium.","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarWalter.walter-r_blank_01026","Walter Herbarium, blank, recto. Sloane Herbarium.","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarWalter.walter-r_blank_01027","Walter Herbarium, blank, recto. Sloane Herbarium.","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarWalter.walter-r_cover_01029","Walter Herbarium, cover, recto. Sloane Herbarium.","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarWalter.walter-r_cover_01031","Walter Herbarium, cover, recto. Sloane Herbarium.","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarWalter.walter-r_endpage_01030","Walter Herbarium, endpage, recto. Sloane Herbarium.","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarWalter.walter-r_herbarium_01021","Walter Herbarium, herbarium, recto. Sloane Herbarium.","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarWalter.walter-r_herbarium_01023","Walter Herbarium, herbarium, recto. Sloane Herbarium.","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
