"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B_0217","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B_0218","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B2_0223","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B3-4_0214","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B5_0224","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B6-7_0215","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B8-9_0228","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B10_0221","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B11_11a_0220","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B12-15_0210","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B16_0209","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B17_0208","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B18_B18a_0203","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B19-20_0202","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B21_0201","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B21_0207","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B22-24_0206","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B25_0199","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B26-28_0198","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B29-33_0213","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B34_0204","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B34_0205","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B34_0211","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B35_0212","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B35a-36_0192","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B37-38_0191","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B37-38_0200","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B39-40_0190","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B40_B50_B51_0197","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B41_0195","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B42_0180","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B44_B50_0189","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B45_B52_0188","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B46_0187","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B47-49_0194","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_B50_0193","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_Bfolder_0219","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_blank_0196","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_BTitle_0226","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_E1_0181","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_E1b_0182","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_E1Frankilinia_0186","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_fade_0250","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_folder_0227","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_fp_0184","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_John_0246","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_title_0247","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_xxxi_0183","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_Georgia_xxxi_0185","William Bartram, Plants gathered by William Bartram, West Georgia","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_SC-WF__0254","William Bartram, Plants gathered by William Bartram, South Carolina and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_SC-WF_BarclaysBook_0283","William Bartram, Plants gathered by William Bartram, South Carolina and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_SC-WF_blank_0285","William Bartram, Plants gathered by William Bartram, South Carolina and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_SC-WF_C_0335","William Bartram, Plants gathered by William Bartram, South Carolina and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_SC-WF_C1_0334","William Bartram, Plants gathered by William Bartram, South Carolina and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_SC-WF_C2_0333","William Bartram, Plants gathered by William Bartram, South Carolina and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_SC-WF_C3_0330","William Bartram, Plants gathered by William Bartram, South Carolina and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_SC-WF_C4_0332","William Bartram, Plants gathered by William Bartram, South Carolina and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_SC-WF_C5_0331","William Bartram, Plants gathered by William Bartram, South Carolina and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_SC-WF_C6_0323","William Bartram, Plants gathered by William Bartram, South Carolina and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_SC-WF_C7_0328","William Bartram, Plants gathered by William Bartram, South Carolina and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_SC-WF_C8_0324","William Bartram, Plants gathered by William Bartram, South Carolina and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_SC-WF_C9_0326","William Bartram, Plants gathered by William Bartram, South Carolina and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_SC-WF_C10_C11_0322","William Bartram, Plants gathered by William Bartram, South Carolina and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_SC-WF_C12_0327","William Bartram, Plants gathered by William Bartram, South Carolina and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_SC-WF_C13_0329","William Bartram, Plants gathered by William Bartram, South Carolina and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_SC-WF_C14_0325","William Bartram, Plants gathered by William Bartram, South Carolina and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_SC-WF_C15-16_0318","William Bartram, Plants gathered by William Bartram, South Carolina and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_SC-WF_C17_0315","William Bartram, Plants gathered by William Bartram, South Carolina and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_SC-WF_C17-18_0319","William Bartram, Plants gathered by William Bartram, South Carolina and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_SC-WF_C19_0317","William Bartram, Plants gathered by William Bartram, South Carolina and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_SC-WF_C19_0321","William Bartram, Plants gathered by William Bartram, South Carolina and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
"urn:cite:fufolioimg:BotCarBartramW.Bartram_William_SC-WF_C20_0314","William Bartram, Plants gathered by William Bartram, South Carolina and West Florida","Image courtesy of the Sloane Herbarium, Mark Spencer, Curator, the Natural History Museum, London. Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported License."
